iter	RMSE
0	2.098845736
1	2.022179958
2	1.973813731
3	1.919648883
4	1.864911944
5	1.821306447
6	1.776918467
7	1.721226091
8	1.673942856
9	1.595572715
10	1.525271994
11	1.489916055
12	1.455052439
13	1.425504954
14	1.392427114
15	1.349253253
16	1.297728162
17	1.253571389
18	1.222466828
19	1.186114508
20	1.160001457
21	1.110872972
22	1.082233301
23	1.063143738
24	1.026029644
25	1.007031539
26	0.9898089954
27	0.9584898143
28	0.9356740068
29	0.9056621154
30	0.8795476696
31	0.8510558735
32	0.8163303066
33	0.8000031078
34	0.7695239978
35	0.7572236223
36	0.7488160567
37	0.7393402601
38	0.7166586921
39	0.6988129124
40	0.6875009504
41	0.6681790237
42	0.6494142683
43	0.6356251538
44	0.6188805733
45	0.6109321279
46	0.5988624409
47	0.581663323
48	0.573021886
49	0.5613570066
50	0.5469383982
51	0.5356526272
52	0.5274470994
53	0.5211831275
54	0.5155813062
55	0.5103538893
56	0.4925393673
57	0.4876015862
58	0.4761846387
59	0.4696824691
60	0.4647260333
61	0.4600424671
62	0.4559979692
63	0.4516286744
64	0.4434438476
65	0.4252097695
66	0.4214895463
67	0.4179527924
68	0.4014207826
69	0.3980684926
70	0.3810521191
71	0.3661674515
72	0.3631297428
73	0.3493163609
74	0.3410528924
75	0.3311838817
76	0.3252309452
77	0.3225959621
78	0.3161451272
79	0.3086990579
80	0.3061790481
81	0.2935109858
82	0.2817575725
83	0.2754566161
84	0.2680407152
85	0.265717019
86	0.2549328362
87	0.249608479
88	0.2396626997
89	0.2300031403
90	0.2211730206
91	0.2165404744
92	0.2083585504
93	0.1999853943
94	0.1976244821
95	0.1896095646
96	0.1827278249
97	0.1802332424
98	0.172190657
99	0.1643597819
100	0.1568784702
101	0.1503218088
102	0.1440421481
103	0.1373849069
104	0.1337639897
105	0.1305676075
106	0.1247008376
107	0.1200007399
108	0.1187260734
109	0.1133767353
110	0.1098309265
111	0.1085433784
112	0.1041938988
113	0.1008788115
114	0.09875728028
115	0.09669737817
116	0.09578375249
117	0.09491341397
118	0.09294367884
119	0.09104041059
120	0.08867032799
121	0.08788207857
122	0.08712593513
123	0.08314155312
124	0.08146722223
125	0.07982875894
126	0.07914395535
127	0.07759144349
128	0.07568501447
129	0.07367143447
130	0.07303555435
131	0.06999580095
132	0.06772791843
133	0.06646933697
134	0.0639324938
135	0.0627265588
136	0.06212735728
137	0.05964445559
138	0.05827360968
139	0.05570417456
140	0.05446744995
141	0.05393180607
142	0.05347675185
143	0.05249141741
144	0.0513677076
145	0.05093871335
146	0.04998892057
147	0.04814762762
148	0.04769225678
149	0.04664371293
150	0.0462108626
151	0.04453710051
152	0.04298079601
153	0.04257815934
154	0.04112915668
155	0.03978217372
156	0.03813800031
157	0.0367983207
158	0.03552491923
159	0.03407066437
160	0.03294865117
161	0.03161826173
162	0.03102483153
163	0.02998479562
164	0.02969543104
165	0.0294180255
166	0.02832667167
167	0.0272985139
168	0.02635804915
169	0.02536344823
170	0.0243935993
171	0.02357285123
172	0.02294557137
173	0.02272702411
174	0.02184568503
175	0.02102331311
176	0.02024072914
177	0.01949925638
178	0.01933727105
179	0.01918247086
180	0.01852042252
181	0.01835241222
182	0.01771980191
183	0.01747156003
184	0.0172390739
185	0.01665014781
186	0.01611655824
187	0.01560881015
188	0.01520344468
189	0.01465684542
190	0.01422080401
191	0.01382876231
192	0.0135118198
193	0.01313146064
194	0.01265200091
195	0.01219356313
196	0.01185130347
197	0.01168633876
198	0.01157412941
199	0.01117231986
200	0.01106812248
201	0.0109815361
202	0.01088126627
203	0.01051400324
204	0.01042291706
205	0.01019047455
206	0.009920839653
207	0.009579695825
208	0.009497499614
209	0.009253142951
210	0.00893729071
211	0.008577139717
212	0.008466874009
213	0.008362429795
214	0.008242367923
215	0.007928003142
216	0.007813713273
217	0.007620543412
218	0.007332841342
219	0.007112172653
220	0.006994390992
221	0.006932277485
222	0.006682848204
223	0.006453988103
224	0.006370092444
225	0.006260683747
226	0.00608647595
227	0.005905107886
228	0.005850976413
229	0.005806182544
230	0.005683456499
231	0.005640052411
232	0.005576914245
233	0.005424858472
234	0.005274055129
235	0.005215904557
236	0.005078310135
237	0.004932419588
238	0.004884390254
239	0.004755218245
240	0.004717421223
241	0.004683248413
242	0.004554762447
243	0.004444348908
244	0.004341054194
245	0.004278984351
246	0.004130203995
247	0.003964497298
248	0.003932810504
249	0.003824317319
250	0.003791149574
251	0.003686550896
252	0.003588725849
253	0.003555363185
254	0.003447327915
255	0.003420082484
256	0.003394167757
257	0.003280873501
258	0.00318825483
259	0.003100610456
260	0.002998609526
261	0.002975645311
262	0.00289816972
263	0.002875960758
264	0.002854790303
265	0.002785240913
266	0.002757670258
267	0.002701467545
268	0.002588308897
269	0.002543181714
270	0.002481787854
271	0.002397221843
272	0.002337827705
273	0.002319104009
274	0.002285480569
275	0.002211576482
276	0.002159556438
277	0.002077453301
278	0.002054155001
279	0.002000730247
280	0.001954850232
281	0.001882337591
282	0.001828055888
283	0.00177957377
284	0.00173556505
285	0.001722196681
286	0.001679368724
287	0.001628031409
288	0.00161590732
289	0.001594267506
290	0.001571965991
291	0.001560499948
292	0.001540111329
293	0.001486582111
294	0.001452111925
295	0.001400614836
296	0.001353371453
297	0.001305805177
298	0.001285415258
299	0.001249210944
300	0.001228161708
301	0.001219498994
302	0.001189030236
303	0.001140570694
304	0.00113265787
305	0.001110466026
306	0.001102949624
307	0.00109167264
308	0.001049867608
309	0.001009385253
310	0.0009736353956
311	0.0009605453814
312	0.0009278165135
313	0.0008961775622
314	0.0008700075474
315	0.0008412153036
316	0.0008357778634
317	0.000808179375
318	0.0008030187284
319	0.000772123552
320	0.0007664047786
321	0.0007374443748
322	0.0007093421895
323	0.0007027218937
324	0.0006952959715
325	0.0006894234288
326	0.0006642924566
327	0.0006423737731
328	0.0006173099489
329	0.0006139652879
330	0.0006060815339
331	0.0005819666219
332	0.0005612760115
333	0.0005410107
334	0.0005376565848
335	0.0005308556925
336	0.0005133351935
337	0.0005070044026
338	0.0004920303197
339	0.0004784774317
340	0.0004642052219
341	0.0004536428577
342	0.0004481010272
343	0.0004323514717
344	0.0004240573627
345	0.0004134956718
346	0.0004087235939
347	0.0003947419309
348	0.0003903497023
349	0.0003797395614
350	0.0003772010622
351	0.0003738297216
352	0.0003641826195
353	0.0003619380137
354	0.0003572308075
355	0.0003453669015
356	0.000334749545
357	0.0003283246613
358	0.0003187548316
359	0.0003095003705
360	0.0003018609423
361	0.0002909022643
362	0.0002822531842
363	0.0002800419587
364	0.0002714031575
365	0.0002620803226
366	0.0002603780182
367	0.0002544328034
368	0.0002459910497
369	0.0002370266812
370	0.0002296028185
371	0.0002276302217
372	0.0002267913593
373	0.0002192162563
374	0.0002114055166
375	0.0002046893867
376	0.000197496844
377	0.0001908035758
378	0.0001840677263
379	0.0001783397806
380	0.0001724974604
381	0.0001675492522
382	0.0001627222891
383	0.000156839764
384	0.0001525089662
385	0.0001514127942
386	0.0001503710346
387	0.0001450928845
388	0.0001404587574
389	0.0001364481926
390	0.0001353577096
391	0.000134439867
392	0.0001308897063
393	0.0001300289608
394	0.0001263683529
395	0.0001220966415
396	0.0001213050059
397	0.0001185570971
398	0.0001177152829
399	0.0001142194591
400	0.0001135020676
401	0.0001098156511
402	0.0001091613839
403	0.0001056535582
404	0.0001031173305
405	0.0001005831371
406	9.864963825e-05
407	9.695989969e-05
408	9.634287951e-05
409	9.304665986e-05
410	9.002273887e-05
411	8.812057503e-05
412	8.53100379e-05
413	8.357999309e-05
414	8.183096329e-05
415	7.928672116e-05
416	7.697248955e-05
417	7.477688761e-05
418	7.230177666e-05
419	7.018809848e-05
420	6.803074607e-05
421	6.74002254e-05
422	6.563623526e-05
423	6.432132791e-05
424	6.258033206e-05
425	6.09967294e-05
426	5.995719111e-05
427	5.745967081e-05
428	5.650027317e-05
429	5.436084528e-05
430	5.284151992e-05
431	5.146777495e-05
432	5.018262312e-05
433	4.852598749e-05
434	4.7347916e-05
435	4.643582217e-05
436	4.485020529e-05
437	4.455612795e-05
438	4.372039579e-05
439	4.231301022e-05
440	4.089138735e-05
441	4.014575597e-05
442	3.960677738e-05
443	3.829319398e-05
444	3.793691904e-05
445	3.682520835e-05
446	3.636909137e-05
447	3.54670445e-05
448	3.445096315e-05
449	3.388506287e-05
450	3.294001642e-05
451	3.210698821e-05
452	3.118911972e-05
453	3.068516807e-05
454	3.025443148e-05
455	2.918190242e-05
456	2.877172408e-05
457	2.778431814e-05
458	2.743490033e-05
459	2.711076303e-05
460	2.607272712e-05
461	2.510231164e-05
462	2.419410928e-05
463	2.348317658e-05
464	2.269998221e-05
465	2.240954286e-05
466	2.163937926e-05
467	2.137167176e-05
468	2.065538709e-05
469	2.040823992e-05
470	1.982565044e-05
471	1.964867054e-05
472	1.948216987e-05
473	1.92631465e-05
474	1.869133099e-05
475	1.852952809e-05
476	1.842268744e-05
477	1.783249142e-05
478	1.718737328e-05
479	1.667003638e-05
480	1.638737509e-05
481	1.580969718e-05
482	1.526873e-05
483	1.507431929e-05
484	1.46967628e-05
485	1.444834249e-05
486	1.409059524e-05
487	1.392039065e-05
488	1.377795153e-05
489	1.369299694e-05
490	1.315828366e-05
491	1.272786947e-05
492	1.239392079e-05
493	1.199754153e-05
494	1.159162537e-05
495	1.121449565e-05
496	1.103471969e-05
497	1.06329641e-05
498	1.02662264e-05
499	1.001017541e-05
500	9.894692989e-06
501	9.557285789e-06
502	9.23491563e-06
503	8.946388953e-06
504	8.649557495e-06
505	8.386274223e-06
506	8.112900492e-06
507	7.872805358e-06
508	7.613777841e-06
509	7.390379795e-06
510	7.134882974e-06
511	6.924812826e-06
512	6.876700824e-06
513	6.725962257e-06
514	6.681195898e-06
515	6.473766092e-06
516	6.435043825e-06
517	6.363069521e-06
518	6.182128359e-06
519	6.047877272e-06
520	5.927800935e-06
521	5.774883869e-06
522	5.651557978e-06
523	5.486951234e-06
524	5.318960477e-06
525	5.154137645e-06
526	4.998010886e-06
527	4.821859304e-06
528	4.727459131e-06
529	4.596447433e-06
530	4.41051265e-06
531	4.278602687e-06
532	4.129565334e-06
533	4.052655223e-06
534	3.942196604e-06
535	3.835727212e-06
536	3.811933835e-06
537	3.789570134e-06
538	3.694296399e-06
